Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Indonesia,IDN,11439.7220689556
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Iran, Islamic Rep.",IRN,15006.1905359616
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Iraq,IRQ,14927.4978444566
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Ireland,IRL,78819.0788246546
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Isle of Man,IMN,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Israel,ISR,41981.6009358289
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Italy,ITA,47880.9411077416
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Jamaica,JAM,9912.02005800428
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Japan,JPN,43976.2664006851
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Jordan,JOR,9360.92517300209
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Kazakhstan,KAZ,31742.8228255039
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Kenya,KEN,4794.71416389442
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Kiribati,KIR,2762.99228130913
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Korea, Dem. People's Rep.",PRK,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Korea, Rep.",KOR,43674.5070129375
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Kosovo,XKX,10434.9533998207
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Kuwait,KWT,54703.6927991243
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Kyrgyz Republic,KGZ,5805.10255223664
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Lao PDR,LAO,7081.12943745794
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Latvia,LVA,31781.7575940943
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Lebanon,LBN,15732.6998247903
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Lesotho,LSO,3020.73313235777
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Liberia,LBR,1670.70434270502
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Libya,LBY,13714.9720283991
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Lithuania,LTU,37575.1566176057
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Luxembourg,LUX,135355.895613971
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Macao SAR, China",MAC,125728.558163597
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Madagascar,MDG,1693.47249791806
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Malawi,MWI,1666.11144612727
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Malaysia,MYS,28671.306672979
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Maldives,MDV,18781.7620477972
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Mali,MLI,2389.91603970186
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Malta,MLT,46205.7250057988
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,4816.40258162678
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Mauritania,MRT,5916.6167238096
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Mauritius,MUS,23182.0434124374
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Mexico,MEX,22007.9967503775
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Micronesia, Fed. Sts.",FSM,3766.8115160662
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Moldova,MDA,12377.366678394
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Monaco,MCO,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Mongolia,MNG,14170.1902490572
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Montenegro,MNE,22246.5673783626
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Morocco,MAR,8119.814453125
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Mozambique,MOZ,1517.95272549929
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Myanmar,MMR,5538.32998995155
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Namibia,NAM,12437.564131897
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Nauru,NRU,11244.7612891129
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Nepal,NPL,3756.41256973007
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Netherlands,NLD,63576.4761161142
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,New Caledonia,NCL,..
